RoleClassLibName,Name,Parent,Attributes?,ID,Description,Recommendations,
AutomationMLExtendedRoleClassLib,Station,ResourceStructure,No,No,No,-,
AutomationMLExtendedRoleClassLib,EquipmentModule,ResourceStructure,No,No,No,-,
AutomationMLExtendedRoleClassLib,ControlModule,ResourceStructure,No,No,No,-,
AutomationMLExtendedRoleClassLib,ControlDevice,ResourceStructure,No,No,No,-,
AutomationMLExtendedRoleClassLib,FieldDevice,ResourceStructure,No,No,No,-,
AutomationMLExtendedRoleClassLib,Turntable,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,Conveyor,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,BeltConveyor,Conveyor,No,No,No,-,
AutomationMLExtendedRoleClassLib,RollConveyor,Conveyor,No,No,No,-,
AutomationMLExtendedRoleClassLib,ChainConveyor,Conveyor,No,No,No,-,
AutomationMLExtendedRoleClassLib,PalletConveyor,Conveyor,No,No,No,-,
AutomationMLExtendedRoleClassLib,OverheadConveyor,Conveyor,No,No,No,-,
AutomationMLExtendedRoleClassLib,LiftingTable,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,AGV,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,Transposer,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,CarrierHandlingSystem,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,BodyStore,Storage,No,No,No,-,
AutomationMLExtendedRoleClassLib,Lift ,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,Rollerbed,Transport,No,No,No,-,
AutomationMLExtendedRoleClassLib,StationaryTool,Tool,No,No,No,-,
AutomationMLExtendedRoleClassLib,MovableTool,Tool,No,No,No,-,
AutomationMLExtendedRoleClassLib,ControlCabinet,ControlEquipment,No,No,No,-,
AutomationMLExtendedRoleClassLib,IODevice,ControlEquipment,No,No,No,-,
AutomationMLExtendedRoleClassLib,HMI ,ControlEquipment,No,No,No,-,
AutomationMLExtendedRoleClassLib,WarningEquipment,HMI ,No,No,No,-,
AutomationMLExtendedRoleClassLib,ActuatingDevice,Actuator,No,No,No,-,
AutomationMLExtendedRoleClassLib,MotionController,Controller,No,No,No,-,
AutomationMLExtendedRoleClassLib,HMIPanel,ControlHardware,No,No,No,-,
AutomationMLExtendedRoleClassLib,MeasuringEquipment,Resource,No,No,No,-,
AutomationMLExtendedRoleClassLib,Clamp,Fixture,No,No,No,-,
AutomationMLExtendedRoleClassLib,ProcessController,Controller,No,No,No,-,
AutomationMLExtendedRoleClassLib,Loader,Storage,No,No,No,-,
AutomationMLExtendedRoleClassLib,Unloader,Storage,No,No,No,-,
AutomationMLB2MMLRoleClassLib,B2mmlData,ExternalData, -,no,, - B2MML to all be in caps (makes more sense),
AutomationMLLogicRoleClassLib,InterlockingTargetGroup,Group,AssociatedFacet,yes,, -,
AutomationMLLogicRoleClassLib,InterlockingSourceGroup,Group,AssociatedFacet,yes,, -,
AutomationMLLogicRoleClassLib,LogicModelObject,AutomationMLBaseRole, - ,yes,, -,
AutomationMLBaseRoleClassLib,AutomationMLBaseRole, -, -,no,, -,
AutomationMLBaseRoleClassLib,Group,AutomationMLBaseRole,AssociatedFacet,no,, -,
AutomationMLBaseRoleClassLib,Facet,AutomationMLBaseRole, -,no,, -,
AutomationMLBaseRoleClassLib,Resource,AutomationMLBaseRole, -,no,, -,
AutomationMLBaseRoleClassLib,Product,AutomationMLBaseRole, -,no,, -,
AutomationMLBaseRoleClassLib,Process,AutomationMLBaseRole, -,no,, -,
AutomationMLBaseRoleClassLib,Structure,AutomationMLBaseRole, -,no,, -,
AutomationMLBaseRoleClassLib,ProductStructure,Structure, -,no,, -,
AutomationMLBaseRoleClassLib,ProcessStructure,Structure, -,no,, -,
AutomationMLBaseRoleClassLib,ResourceStructure,Structure, -,no,, -,
AutomationMLBaseRoleClassLib,ExternalData,AutomationMLBaseRole, -,no,, -,
DriveConfigurationRoleClassLib,MotionProject,Structure,Comment,yes,, -,
DriveConfigurationRoleClassLib,AxisGroup,Structure,Comment,yes,, - 'who are' misspelled as 'whore'; incomplete description,
DriveConfigurationRoleClassLib,AbstractLoadMechanism,Resource,Comment,yes,, -,
DriveConfigurationRoleClassLib,AbstractRotaryLoadMechanism,AbstractLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,BallScrew,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,RackAndPinion,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,RollFeed,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,RotaryTable,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,Cart,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,Elevator,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,Conveyor,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,Fan,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,Pump,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,GenericRotary,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,GenericLinear,AbstractRotaryLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,LinearServo,AbstractLoadMechanism,Yes,yes,, -,
DriveConfigurationRoleClassLib,AbstractTransmission,Resource,No,yes,, -,
DriveConfigurationRoleClassLib,GenericTransmission,AbstractTransmission,Yes,yes,, -,
DriveConfigurationRoleClassLib,Coupling,AbstractTransmission,Yes,yes,, -,
DriveConfigurationRoleClassLib,GearBox,GenericTransmission,Yes,yes,, -,
DriveConfigurationRoleClassLib,BeltAndPulley,GenericTransmission,Yes,yes,, -,
DriveConfigurationRoleClassLib,TimingBeltChainSprocket,GenericTransmission,Yes,yes,, -,
DriveConfigurationRoleClassLib,AbstractMotor,Resource,No,yes,, -,
DriveConfigurationRoleClassLib,RotaryMotor,AbstractMotor,No,yes,, - 'an general object' instead of 'a general object',
DriveConfigurationRoleClassLib,LinearMotor,AbstractMotor,No,yes,, -,
DriveConfigurationRoleClassLib,MotionPattern,Structure,No,yes,, -,
DriveConfigurationRoleClassLib,MotionPatternSection,AutomationMLBaseRole,Yes,yes,, -,
DriveConfigurationRoleClassLib,TimeSeriesData,AutomationMLBaseRole,Yes,yes,, -,
